remote,tx0,tx1,tx2,tx3
63,13,17,11,-10
-72,20,-3,-16,-28
-94,-13,20,16,18
89,-2,-27,-13,31
-30,-12,8,-12,-9
-38,-10,28,-9,5
-43,20,16,-11,-28
-65,-29,17,24,-31
88,-10,-13,-27,6
-74,10,31,20,-19
73,20,-28,14,10
89,-1,-16,-2,4
39,2,10,24,26
-78,-12,-20,4,31
51,-19,24,25,-15
8,16,-20,-3,27
-92,-28,26,-2,2
-93,28,-31,7,-8
-77,-4,-14,28,-18
-45,-7,20,-8,10
-41,26,-13,15,-12
29,12,-23,24,26
54,7,28,27,0
-94,-3,1,4,-9
43,-4,11,16,-31
-50,-29,18,21,11
83,-8,-22,-12,5
66,19,10,-7,-8
79,10,16,-15,-10
39,3,8,0,19
7,-24,30,-26,22
-44,3,-28,29,9
14,12,-24,15,-21
50,19,-2,-19,19
-29,10,4,-17,-20
-99,-29,-3,4,-9
94,-18,-21,-22,-15
-60,1,23,-12,29
78,-10,-20,2,9
8,1,-20,25,-1
-13,-28,24,-14,-32
-29,-19,-11,23,1
-61,23,6,-21,17
-45,12,-29,-4,-2
95,8,-27,25,25
-14,23,9,12,2
-74,-18,-25,-29,10
-77,17,5,21,6
-3,-8,13,-26,-31
-76,0,15,18,1
-9,-27,23,15,14
-12,23,-14,-2,-2
54,-32,-1,17,-25
-33,-7,20,-22,-17
-89,14,-9,15,27
86,23,-11,-4,7
17,-24,-10,-29,-12
37,10,-22,8,19
-69,8,16,-20,7
-4,-17,-2,10,-17
-80,6,31,-14,5
41,7,-14,-15,15
-25,20,-3,-28,-4
60,9,27,4,-4
58,19,0,28,-15
-8,5,26,-15,29
47,-16,0,28,-13
-51,-8,-31,25,26
80,21,27,-32,15
-83,16,4,-22,21
-89,-10,-12,-30,28
69,6,-23,0,-5
-42,19,24,-5,-1
97,-32,12,-13,-22
-26,6,6,22,25
-80,4,22,-18,14
-41,-6,0,4,-23
-75,23,26,-2,-18
-3,9,6,6,-25
-29,27,-7,-17,-7
16,24,17,-26,-13
62,24,29,-2,-11
-7,-5,-19,21,9
-59,28,-2,26,24
-6,-11,16,-24,-18
-10,-22,13,-18,-6
-47,4,5,31,30
71,10,5,-30,-21
-32,-21,-30,-2,25
79,-2,18,-14,-25
74,7,3,5,26
65,-4,-31,22,-16
-82,-7,-26,-32,21
55,-14,31,13,26
62,-29,4,-2,-25
-57,-27,-3,21,27
36,-1,13,-9,7
86,28,-4,-22,-30
-38,-23,-8,14,18
-59,26,0,-24,0
18,21,-15,-30,-32
-3,-8,-20,17,-5
-31,17,-27,28,-23
63,31,7,-27,-27
76,19,24,17,22
42,-1,-28,15,12
-44,-14,14,0,-24
75,-32,-16,-30,-25
-17,-19,-21,13,-24
96,22,5,-24,28
98,-4,9,12,-28
-86,-10,21,-2,4
-42,27,-10,-19,20
-92,-26,-7,10,-9
-20,-1,-16,-15,-15
2,-17,14,-27,21
-32,26,2,13,15
-84,-15,-11,11,16
-46,27,0,-10,25
45,8,29,27,16
83,24,5,29,16
-20,22,11,-9,-22
-46,25,-18,-15,-15
67,-12,27,-24,12
27,28,-23,26,-17
1,25,-14,-28,-10
64,1,-4,5,18
17,-1,18,-7,-16
-64,3,14,-27,-4
-33,30,-21,-7,-32
-65,-2,18,-27,-30
-37,3,-31,8,6
90,24,1,7,27
43,-23,-17,18,22
37,4,26,28,16
-33,-2,15,0,-3
91,2,1,-28,-1
49,10,16,-8,26
9,8,15,4,12
49,-22,-19,13,-13
2,-15,-3,-26,3
-8,-13,28,10,-8
-44,-3,-29,2,-18
-65,17,9,-17,-28
30,-13,-4,15,21
26,-5,-24,23,-30
-77,-24,27,19,-2
93,21,6,24,-6
-88,20,20,17,-24
-72,10,-18,11,-20
-61,27,-15,-9,-28
60,21,-27,31,25
-60,-25,-28,31,-26
74,-6,6,15,-1
8,21,31,2,-27
52,17,-18,-22,19
-84,-30,-20,22,24
-2,16,-2,-22,-3
-3,29,-15,23,-5
52,-32,17,-9,-25
19,13,26,5,-15
35,6,15,9,5
-36,17,21,-19,-3
41,21,-13,-22,8
-98,-4,21,9,9
74,30,-20,5,-2
84,-4,30,7,6
-71,2,20,25,-14
74,23,3,22,-4
37,30,-28,-11,20
92,-29,15,24,6
-32,17,-5,12,3
96,11,24,25,-25
64,19,24,-27,-10
-13,-11,-2,13,22
-72,27,14,23,31
-25,-16,-20,3,-26
11,-29,15,-25,12
-60,18,13,-23,16
16,-29,-25,19,8
-100,-22,18,14,21
84,22,3,-12,20
84,-15,-8,-29,-13
-33,27,-17,-14,6
28,-9,26,24,16
95,-26,-21,-28,-9
-55,1,-5,-16,28
29,16,-30,-24,-2
-73,9,-26,-2,-4
60,-5,10,14,6
-24,26,-1,14,-14
63,9,-16,17,27
29,11,-6,-28,-25
55,16,-24,-13,20
-50,3,-6,25,21
-61,21,-5,15,-15
-5,0,-3,15,17
95,-22,10,24,-1
-59,28,-14,-23,0
38,-30,-32,-15,-6
99,-26,3,14,10
35,12,-14,18,-22
-100,-4,-16,8,25
53,-24,0,3,15
-18,-27,-10,-1,-21
25,-29,-18,-18,-8
-96,-1,-29,-29,-26
-72,-7,-16,-9,2
-8,-30,-31,31,16
-22,-13,13,17,-27
-39,-2,-2,-17,-23
-86,-16,9,1,-8
-39,28,-30,1,-5
45,-18,-10,25,29
-80,-5,1,-5,-6
-79,27,-26,4,10
87,0,-16,30,6
24,15,21,-7,-31
-83,-11,-18,-17,-5
94,-18,-24,-15,-8
36,-12,28,-23,-17
96,7,25,25,29
-68,-19,14,-10,-1
-68,-29,-19,24,-6
68,7,25,-21,18
21,16,-4,8,-2
40,18,-27,12,9
-58,-7,6,-24,4
-33,-23,26,5,16
35,-1,-29,6,27
55,-19,-25,-12,13
8,6,29,-10,7
-46,-17,19,14,1
38,-27,22,-4,14
93,12,-19,-17,31
86,22,30,-7,27
76,15,24,-15,-20
-49,-24,-23,-2,28
82,11,-22,31,8
-21,-31,9,-29,-6
2,21,-14,14,15
71,30,-24,15,8
66,-19,-16,27,20
-5,23,3,-16,-27
12,14,9,-21,-4
32,26,16,-24,-14
15,-13,5,7,-30
-70,23,26,18,1
-37,-10,23,29,21
-43,2,-20,20,5
-84,29,-18,20,-13
-14,27,-5,-23,-7
-95,23,23,-16,10
50,2,25,8,-3
41,9,-3,-23,16
-42,-1,20,25,-1
50,-21,11,27,31
-44,3,26,12,11
-99,25,19,-16,0
-82,-1,21,-9,30
81,27,-20,-16,30
61,16,8,23,26
-85,11,22,-25,-11
-42,-29,8,-17,13
-83,31,0,-13,-11
-92,9,15,6,-15
-16,-9,-13,-11,30
-82,30,28,-12,-9
31,-5,-24,9,-25
-40,13,-21,-4,-28
-29,1,-22,12,-23
71,11,-21,4,-26
24,3,23,-22,-32
-46,3,-20,0,20
38,-31,15,-7,-15
-67,-8,-16,3,-3
85,-22,-25,-16,-24
46,-2,10,6,-13
